Renda familiar - per capita - média
Sigla;Código;Município;1970;1980;1991;
MA;2111300;São Luís;0,6;1,03;1,08;
MA;2111409;São Luís Gonzaga do Maranhão;0,34;0,42;0,37;
MA;2111508;São Mateus do Maranhão;0,24;0,39;0,31;
MA;2111532;São Pedro da Água Branca;;;;
MA;2111573;São Pedro dos Crentes;;;;
MA;2111607;São Raimundo das Mangabeiras;0,14;0,29;0,35;
MA;2111631;São Raimundo do Doca Bezerra;;;;
MA;2111672;São Roberto;;;;
MA;2111706;São Vicente Ferrer;0,13;0,21;0,23;
MA;2111722;Satubinha;;;;
MA;2111748;Senador Alexandre Costa;;;;
MA;2111763;Senador La Rocque;;;;
MA;2111789;Serrano do Maranhão;;;;
MA;2111805;Sítio Novo;0,26;0,28;0,3;
MA;2111904;Sucupira do Norte;0,24;0,22;0,21;
MA;2111953;Sucupira do Riachão;;;;
MA;2112001;Tasso Fragoso;0,1;0,39;0,17;
MA;2112100;Timbiras;0,23;0,26;0,23;
MA;2112209;Timon;0,2;0,44;0,44;
MA;2112233;Trizidela do Vale;;;;
MA;2112274;Tufilândia;;;;
MA;2112308;Tuntum;0,16;0,23;0,29;
MA;2112407;Turiaçu;0,22;0,47;0,3;
MA;2112456;Turilândia;;;;
MA;2112506;Tutóia;0,14;0,25;0,26;
MA;2112605;Urbano Santos;0,17;0,24;0,25;
MA;2112704;Vargem Grande;0,24;0,38;0,23;
MA;2112803;Viana;0,23;0,35;0,26;
MA;2112852;Vila Nova dos Martírios;;;;
MA;2112902;Vitória do Mearim;0,34;0,4;0,27;
MA;2113009;Vitorino Freire;0,24;0,43;0,41;
MA;2114007;Zé Doca;;;0,32;
MG;3100104;Abadia dos Dourados;0,24;0,8;0,73;
MG;3100203;Abaeté;0,44;0,93;0,76;
MG;3100302;Abre Campo;0,28;0,57;0,41;
MG;3100401;Acaiaca;0,24;0,56;0,61;
MG;3100500;Açucena;0,23;0,6;0,45;
MG;3100609;Água Boa;0,36;0,43;0,38;
MG;3100708;Água Comprida;0,33;1,17;0,84;
MG;3100807;Aguanil;0,2;0,79;0,59;
MG;3100906;Águas Formosas;0,21;0,5;0,5;
MG;3101003;Águas Vermelhas;0,2;0,51;0,5;
MG;3101102;Aimorés;0,27;0,81;0,7;
MG;3101201;Aiuruoca;0,47;0,99;0,76;
MG;3101300;Alagoa;0,26;0,63;0,83;
MG;3101409;Albertina;0,41;1,04;0,95;
MG;3101508;Além Paraíba;0,62;1,27;1,17;
MG;3101607;Alfenas;0,5;1,6;1,41;
MG;3101631;Alfredo Vasconcelos;;;;
MG;3101706;Almenara;0,34;0,66;0,66;
MG;3101805;Alpercata;0,31;0,51;0,44;
MG;3101904;Alpinópolis;0,41;1,11;0,96;
MG;3102001;Alterosa;0,29;0,86;0,61;
MG;3102050;Alto Caparaó;;;;
MG;3102100;Alto Rio Doce;0,19;0,58;0,38;
MG;3102209;Alvarenga;0,17;0,52;0,38;
MG;3102308;Alvinópolis;0,4;0,72;0,73;
MG;3102407;Alvorada de Minas;0,21;0,52;0,37;
MG;3102506;Amparo do Serra;0,18;0,38;0,44;
MG;3102605;Andradas;0,66;1,45;1,42;
MG;3102704;Cachoeira de Pajeú;0,19;0,4;0,41;
MG;3102803;Andrelândia;0,29;1,2;0,73;
MG;3102852;Angelândia;;;;
MG;3102902;Antônio Carlos;0,42;0,75;0,53;
MG;3103009;Antônio Dias;0,32;0,76;0,5;
MG;3103108;Antônio Prado de Minas;0,25;0,7;0,43;
MG;3103207;Araçaí;0,39;0,91;0,89;
MG;3103306;Aracitaba;0,23;0,71;0,64;
MG;3103405;Araçuaí;0,23;0,55;0,52;
MG;3103504;Araguari;0,61;1,56;1,28;
MG;3103603;Arantina;0,29;0,98;0,54;
MG;3103702;Araponga;0,16;0,33;0,36;
MG;3103751;Araporã;;;;
MG;3103801;Arapuá;0,39;0,9;0,78;
MG;3103900;Araújos;0,3;0,93;0,76;
MG;3104007;Araxá;0,71;1,83;1,29;
MG;3104106;Arceburgo;0,42;1,27;0,89;
MG;3104205;Arcos;0,42;1,13;0,9;
MG;3104304;Areado;0,5;1,26;0,9;
MG;3104403;Argirita;0,26;0,94;0,49;
MG;3104452;Aricanduva;;;;
MG;3104502;Arinos;0,19;0,81;0,5;
MG;3104601;Astolfo Dutra;0,39;1,01;0,84;
MG;3104700;Ataléia;0,19;0,4;0,35;
MG;3104809;Augusto de Lima;0,36;0,76;0,44;
MG;3104908;Baependi;0,39;0,76;0,7;
MG;3105004;Baldim;0,33;0,78;0,67;
MG;3105103;Bambuí;0,37;1,22;0,93;
MG;3105202;Bandeira;0,26;0,46;0,31;
MG;3105301;Bandeira do Sul;0,44;0,93;0,87;
MG;3105400;Barão de Cocais;0,38;1,24;0,8;
MG;3105509;Barão de Monte Alto;0,33;0,68;0,46;
MG;3105608;Barbacena;0,6;1,3;1,12;
MG;3105707;Barra Longa;0,34;0,63;0,55;
MG;3105905;Barroso;0,53;1,13;0,67;
MG;3106002;Bela Vista de Minas;0,42;0,89;0,53;
MG;3106101;Belmiro Braga;0,29;0,84;0,74;
MG;3106200;Belo Horizonte;1,15;2,51;2,34;
MG;3106309;Belo Oriente;0,2;0,56;0,53;
MG;3106408;Belo Vale;0,32;0,72;0,5;
MG;3106507;Berilo;0,11;0,36;0,51;
MG;3106606;Bertópolis;0,2;0,4;0,34;
MG;3106655;Berizal;;;;
MG;3106705;Betim;0,51;1,14;0,93;
MG;3106804;Bias Fortes;0,46;0,61;0,49;
MG;3106903;Bicas;0,57;1,62;1,26;
MG;3107000;Biquinhas;0,35;0,58;0,62;
MG;3107109;Boa Esperança;0,46;1,45;1,12;
MG;3107208;Bocaina de Minas;0,37;0,76;0,65;
MG;3107307;Bocaiúva;0,27;0,72;0,61;
MG;3107406;Bom Despacho;0,48;1,15;1,13;
MG;3107505;Bom Jardim de Minas;0,33;1,52;0,83;
MG;3107604;Bom Jesus da Penha;0,26;0,84;0,86;
MG;3107703;Bom Jesus do Amparo;0,32;0,84;0,56;
MG;3107802;Bom Jesus do Galho;0,22;0,62;0,39;
MG;3107901;Bom Repouso;0,23;0,84;0,78;
MG;3108008;Bom Sucesso;0,34;0,94;0,67;
MG;3108107;Bonfim;0,25;0,63;0,55;
MG;3108206;Bonfinópolis de Minas;0,21;1,57;0,74;
MG;3108255;Bonito de Minas;;;;
MG;3108305;Borda da Mata;0,31;1,33;1,01;
MG;3108404;Botelhos;0,46;1;1,05;
MG;3108503;Botumirim;0,13;0,42;0,47;
MG;3108552;Brasilândia de Minas;;;;
MG;3108602;Brasília de Minas;0,22;0,49;0,38;
MG;3108701;Brás Pires;0,17;0,5;0,34;
MG;3108800;Braúnas;0,28;0,59;0,46;
MG;3108909;Brasópolis;0,4;0,78;0,66;
MG;3109006;Brumadinho;0,4;1,16;0,95;
MG;3109105;Bueno Brandão;0,4;0,9;0,89;
MG;3109204;Buenópolis;0,34;0,78;0,48;
MG;3109253;Bugre;;;;
MG;3109303;Buritis;0,2;0,79;0,52;
MG;3109402;Buritizeiro;0,29;0,65;0,45;
MG;3109451;Cabeceira Grande;;;;
MG;3109501;Cabo Verde;0,47;1,31;0,89;
MG;3109600;Cachoeira da Prata;0,6;1,82;1,18;
MG;3109709;Cachoeira de Minas;0,27;0,87;0,61;
MG;3109808;Cachoeira Dourada;0,36;1,45;0,59;
MG;3109907;Caetanópolis;0,43;0,91;0,91;
MG;3110004;Caeté;0,51;1,11;0,86;
MG;3110103;Caiana;0,26;1,96;0,51;
MG;3110202;Cajuri;0,28;0,69;0,34;
MG;3110301;Caldas;0,4;1,05;1,08;
MG;3110400;Camacho;0,16;0,59;0,63;
MG;3110509;Camanducaia;0,44;1,07;1,06;
MG;3110608;Cambuí;0,43;0,96;1,04;
MG;3110707;Cambuquira;0,45;1,62;0,95;
MG;3110806;Campanário;0,22;0,49;0,49;
MG;3110905;Campanha;0,51;1,28;0,97;
MG;3111002;Campestre;0,4;1,02;0,85;
MG;3111101;Campina Verde;0,47;1,17;0,95;
MG;3111150;Campo Azul;;;;
MG;3111200;Campo Belo;0,49;1,31;0,88;
MG;3111309;Campo do Meio;0,37;0,86;0,86;
MG;3111408;Campo Florido;0,39;1,48;1,44;
MG;3111507;Campos Altos;0,48;1,33;1,06;
MG;3111606;Campos Gerais;0,38;0,84;0,8;
MG;3111705;Canaã;0,18;0,41;0,3;
MG;3111804;Canápolis;0,39;0,88;0,85;
MG;3111903;Cana Verde;0,27;0,98;0,63;
MG;3112000;Candeias;0,24;0,65;0,62;
MG;3112059;Cantagalo;;;;
MG;3112109;Caparaó;0,3;0,75;0,74;
MG;3112208;Capela Nova;0,22;0,68;0,54;
MG;3112307;Capelinha;0,18;0,59;0,53;
MG;3112406;Capetinga;0,43;1,06;0,91;
MG;3112505;Capim Branco;0,32;0,89;0,8;
MG;3112604;Capinópolis;0,38;1,11;1,08;
MG;3112653;Capitão Andrade;;;;
MG;3112703;Capitão Enéas;0,3;0,48;0,5;
MG;3112802;Capitólio;0,25;0,91;1,02;
MG;3112901;Caputira;0,24;0,64;0,38;
MG;3113008;Caraí;0,29;0,4;0,32;
MG;3113107;Caranaíba;0,21;0,47;0,35;
MG;3113206;Carandaí;0,38;1,21;0,67;
MG;3113305;Carangola;0,55;1,11;0,78;
MG;3113404;Caratinga;0,3;0,76;0,64;
MG;3113503;Carbonita;0,1;0,5;0,49;
MG;3113602;Careaçu;0,27;0,83;0,8;
MG;3113701;Carlos Chagas;0,35;0,91;0,67;
MG;3113800;Carmésia;0,32;0,54;0,51;
MG;3113909;Carmo da Cachoeira;0,31;0,96;0,79;
MG;3114006;Carmo da Mata;0,38;0,88;0,69;
MG;3114105;Carmo de Minas;0,41;0,87;0,82;
MG;3114204;Carmo do Cajuru;0,34;0,79;0,71;
MG;3114303;Carmo do Paranaíba;0,42;1,07;0,98;
MG;3114402;Carmo do Rio Claro;0,31;1,33;0,72;
MG;3114501;Carmópolis de Minas;0,27;0,7;0,6;
MG;3114550;Carneirinho;;;;
MG;3114600;Carrancas;0,33;1,53;0,7;
MG;3114709;Carvalhópolis;0,27;1,08;0,63;
MG;3114808;Carvalhos;0,4;0,87;0,6;
MG;3114907;Casa Grande;0,22;0,89;0,36;
MG;3115003;Cascalho Rico;0,28;1,08;0,91;
MG;3115102;Cássia;0,47;1,22;1,17;
MG;3115201;Conceição da Barra de Minas;0,19;0,69;0,36;
MG;3115300;Cataguases;0,53;1,18;0,99;
MG;3115359;Catas Altas;;;;
MG;3115409;Catas Altas da Noruega;0,13;0,41;0,3;
MG;3115458;Catuji;;;;
MG;3115474;Catuti;;;;
MG;3115508;Caxambu;0,66;1,23;1,01;
MG;3115607;Cedro do Abaeté;0,26;0,56;0,56;
MG;3115706;Central de Minas;0,24;0,73;0,53;
MG;3115805;Centralina;0,4;1,09;0,77;
MG;3115904;Chácara;0,38;0,74;0,87;
MG;3116001;Chalé;0,2;0,45;0,5;
MG;3116100;Chapada do Norte;0,11;0,52;0,42;
MG;3116159;Chapada Gaúcha;;;;
MG;3116209;Chiador;0,35;0,62;0,5;
MG;3116308;Cipotânea;0,21;0,6;0,28;
MG;3116407;Claraval;0,27;0,9;0,91;
MG;3116506;Claro dos Poções;0,23;0,47;0,36;
MG;3116605;Cláudio;0,33;0,91;0,75;
MG;3116704;Coimbra;0,46;0,65;0,57;
MG;3116803;Coluna;0,15;0,44;0,42;
MG;3116902;Comendador Gomes;0,28;1,74;1,26;
MG;3117009;Comercinho;0,23;0,29;0,27;
MG;3117108;Conceição da Aparecida;0,3;1,15;0,74;
MG;3117207;Conceição das Pedras;0,26;0,71;0,91;
MG;3117306;Conceição das Alagoas;0,42;1,2;1,24;
MG;3117405;Conceição de Ipanema;0,19;0,5;0,59;
MG;3117504;Conceição do Mato Dentro;0,27;0,54;0,47;
MG;3117603;Conceição do Pará;0,31;0,63;0,76;
MG;3117702;Conceição do Rio Verde;0,4;0,87;0,72;
MG;3117801;Conceição dos Ouros;0,29;0,84;0,7;
MG;3117836;Cônego Marinho;;;;
MG;3117876;Confins;;;;
MG;3117900;Congonhal;0,27;0,78;1,07;
MG;3118007;Congonhas;0,48;1,45;1,04;
MG;3118106;Congonhas do Norte;0,19;0,34;0,4;
MG;3118205;Conquista;0,5;1,26;0,75;
MG;3118304;Conselheiro Lafaiete;0,6;1,57;1,06;
MG;3118403;Conselheiro Pena;0,31;0,78;0,61;
MG;3118502;Consolação;0,37;0,58;0,53;
MG;3118601;Contagem;0,59;1,34;1,2;
MG;3118700;Coqueiral;0,32;0,86;0,75;
MG;3118809;Coração de Jesus;0,18;0,53;0,36;
MG;3118908;Cordisburgo;0,35;1;0,6;
MG;3119005;Cordislândia;0,51;1,13;0,77;
MG;3119104;Corinto;0,49;1,17;0,83;
MG;3119203;Coroaci;0,25;0,59;0,35;
MG;3119302;Coromandel;0,35;1,12;0,98;
MG;3119401;Coronel Fabriciano;0,61;1,45;1,09;
MG;3119500;Coronel Murta;0,34;0,47;0,36;
MG;3119609;Coronel Pacheco;0,32;0,73;0,62;
MG;3119708;Coronel Xavier Chaves;0,23;0,88;0,45;
MG;3119807;Córrego Danta;0,3;0,85;0,87;
MG;3119906;Córrego do Bom Jesus;0,23;0,6;0,68;
MG;3119955;Córrego Fundo;;;;
MG;3120003;Córrego Novo;0,25;0,51;0,37;
MG;3120102;Couto de Magalhães de Minas;0,27;0,68;0,71;
MG;3120151;Crisólita;;;;
MG;3120201;Cristais;0,34;1,29;0,78;
MG;3120300;Cristália;0,12;0,28;0,34;
MG;3120409;Cristiano Otoni;0,31;0,94;0,57;
MG;3120508;Cristina;0,33;0,84;0,85;
MG;3120607;Crucilândia;0,26;0,69;1,3;
MG;3120706;Cruzeiro da Fortaleza;0,31;1,2;0,94;
MG;3120805;Cruzília;0,3;0,99;0,8;
MG;3120839;Cuparaque;;;;
MG;3120870;Curral de Dentro;;;;
MG;3120904;Curvelo;0,46;1,28;0,86;
MG;3121001;Datas;0,17;0,36;0,53;
MG;3121100;Delfim Moreira;0,3;0,68;0,77;
MG;3121209;Delfinópolis;0,23;0,89;0,77;
MG;3121258;Delta;;;;
MG;3121308;Descoberto;0,23;0,55;0,54;
MG;3121407;Desterro de Entre Rios;0,17;0,57;0,4;
MG;3121506;Desterro do Melo;0,2;0,62;0,5;
MG;3121605;Diamantina;0,43;0,91;0,83;
MG;3121704;Diogo de Vasconcelos;0,28;0,48;0,44;
MG;3121803;Dionísio;0,25;0,58;0,54;
MG;3121902;Divinésia;0,22;0,67;0,41;
MG;3122009;Divino;0,27;0,78;0,6;
MG;3122108;Divino das Laranjeiras;0,18;0,7;0,46;
MG;3122207;Divinolândia de Minas;0,17;0,57;0,37;
MG;3122306;Divinópolis;0,55;1,32;1,24;
MG;3122355;Divisa Alegre;;;;
MG;3122405;Divisa Nova;0,31;0,94;1,13;
MG;3122454;Divisópolis;;;;
MG;3122470;Dom Bosco;;;;
MG;3122504;Dom Cavati;0,31;0,79;0,83;
MG;3122603;Dom Joaquim;0,25;0,49;0,39;
MG;3122702;Dom Silvério;0,21;0,68;0,45;
MG;3122801;Dom Viçoso;0,26;0,47;0,64;
MG;3122900;Dona Eusébia;0,25;0,77;0,63;
MG;3123007;Dores de Campos;0,44;0,84;0,69;
MG;3123106;Dores de Guanhães;0,17;0,36;0,45;
MG;3123205;Dores do Indaiá;0,48;1,06;1,27;
MG;3123304;Dores do Turvo;0,2;0,63;0,43;
MG;3123403;Doresópolis;0,25;0,78;0,61;
MG;3123502;Douradoquara;0,28;0,81;0,86;
MG;3123528;Durandé;;;;
MG;3123601;Elói Mendes;0,4;1,38;1,14;
MG;3123700;Engenheiro Caldas;0,22;0,5;0,62;
MG;3123809;Engenheiro Navarro;0,31;0,62;0,48;
MG;3123858;Entre Folhas;;;;
MG;3123908;Entre Rios de Minas;0,26;1;0,56;
MG;3124005;Ervália;0,2;0,52;0,46;
MG;3124104;Esmeraldas;0,36;0,83;0,66;
MG;3124203;Espera Feliz;0,34;1,07;0,69;
MG;3124302;Espinosa;0,21;0,64;0,41;
MG;3124401;Espírito Santo do Dourado;0,34;1,09;0,74;
MG;3124500;Estiva;0,33;0,68;0,92;
MG;3124609;Estrela Dalva;0,29;1,22;0,94;
MG;3124708;Estrela do Indaiá;0,31;0,83;1,01;
MG;3124807;Estrela do Sul;0,35;0,77;0,77;
MG;3124906;Eugenópolis;0,25;0,75;0,63;
MG;3125002;Ewbank da Câmara;0,37;0,72;0,64;
MG;3125101;Extrema;0,42;1,17;1,24;
MG;3125200;Fama;0,3;0,79;1,08;
MG;3125309;Faria Lemos;0,38;0,79;0,59;
MG;3125408;Felício dos Santos;0,12;0,37;0,25;
MG;3125507;São Gonçalo do Rio Preto;0,19;0,53;0,38;
MG;3125606;Felisburgo;0,16;0,49;0,43;
MG;3125705;Felixlândia;0,34;1,36;0,78;
MG;3125804;Fernandes Tourinho;0,18;0,52;0,36;
MG;3125903;Ferros;0,26;0,49;0,56;
MG;3125952;Fervedouro;;;;
MG;3126000;Florestal;0,42;1,13;1,08;
MG;3126109;Formiga;0,42;1,06;0,96;
MG;3126208;Formoso;0,21;0,49;0,6;
MG;3126307;Fortaleza de Minas;0,3;0,76;0,78;
MG;3126406;Fortuna de Minas;0,24;1,09;0,62;
MG;3126505;Francisco Badaró;0,1;0,29;0,28;
MG;3126604;Francisco Dumont;0,28;0,63;0,54;
MG;3126703;Francisco Sá;0,28;0,61;0,45;
MG;3126752;Franciscópolis;;;;
MG;3126802;Frei Gaspar;0,16;0,51;0,23;
MG;3126901;Frei Inocêncio;0,22;0,54;0,72;
MG;3126950;Frei Lagonegro;;;;
MG;3127008;Fronteira;0,51;1,17;1,29;
MG;3127057;Fronteira dos Vales;0,1;0,43;0,33;
MG;3127073;Fruta de Leite;;;;
MG;3127107;Frutal;0,5;1,44;1,34;
MG;3127206;Funilândia;0,28;0,82;1,1;
MG;3127305;Galiléia;0,22;0,77;0,57;
MG;3127339;Gameleiras;;;;
MG;3127354;Glaucilândia;;;;
MG;3127370;Goiabeira;;;;
MG;3127388;Goianá;;;;
MG;3127404;Gonçalves;0,23;0,75;0,84;
MG;3127503;Gonzaga;0,1;0,37;0,38;
MG;3127602;Gouveia;0,32;0,66;0,59;
MG;3127701;Governador Valadares;0,52;1,38;1,23;
MG;3127800;Grão Mogol;0,15;0,53;0,48;
MG;3127909;Grupiara;0,31;0,84;0,79;
MG;3128006;Guanhães;0,27;0,99;0,63;
MG;3128105;Guapé;0,25;1,02;0,68;
MG;3128204;Guaraciaba;0,17;0,49;0,36;
MG;3128253;Guaraciama;;;;
MG;3128303;Guaranésia;0,47;1,28;0,9;
MG;3128402;Guarani;0,31;1,03;0,78;
MG;3128501;Guarará;0,27;0,99;0,74;
MG;3128600;Guarda-Mor;0,53;1,16;1,05;
MG;3128709;Guaxupé;0,58;1,72;1,31;
MG;3128808;Guidoval;0,23;0,66;0,64;
MG;3128907;Guimarânia;0,45;0,94;0,98;
MG;3129004;Guiricema;0,37;0,59;0,51;
MG;3129103;Gurinhatã;0,31;1,23;0,77;
MG;3129202;Heliodora;0,33;0,78;0,64;
MG;3129301;Iapu;0,25;0,48;0,51;
MG;3129400;Ibertioga;0,32;0,6;0,71;
MG;3129509;Ibiá;0,44;1,39;0,96;
MG;3129608;Ibiaí;0,19;0,44;0,38;
MG;3129657;Ibiracatu;;;;
MG;3129707;Ibiraci;0,46;1,42;1,08;
MG;3129806;Ibirité;0,41;0,85;0,68;
MG;3129905;Ibitiúra de Minas;0,46;0,77;0,97;
MG;3130002;Ibituruna;0,26;0,92;0,79;
MG;3130051;Icaraí de Minas;;;;
MG;3130101;Igarapé;0,37;0,83;0,76;
MG;3130200;Igaratinga;0,4;1,04;0,88;
MG;3130309;Iguatama;0,31;1,52;0,89;
MG;3130408;Ijaci;0,57;1,05;0,49;
MG;3130507;Ilicínea;0,26;0,87;0,7;
MG;3130556;Imbé de Minas;;;;
MG;3130606;Inconfidentes;0,38;1,16;1,02;
MG;3130655;Indaiabira;;;;
MG;3130705;Indianópolis;0,23;0,99;0,86;
MG;3130804;Ingaí;0,42;0,75;0,8;
MG;3130903;Inhapim;0,22;0,59;0,55;
MG;3131000;Inhaúma;0,36;0,8;0,67;
MG;3131109;Inimutaba;0,5;0,77;0,61;
MG;3131158;Ipaba;;;;
MG;3131208;Ipanema;0,26;0,68;0,6;
MG;3131307;Ipatinga;0,69;1,69;1,23;
MG;3131406;Ipiaçu;0,35;0,93;0,72;
MG;3131505;Ipuiúna;0,52;1,38;1,99;
MG;3131604;Iraí de Minas;0,13;1,33;1,38;
MG;3131703;Itabira;0,61;1,34;1,18;
MG;3131802;Itabirinha de Mantena;0,2;0,54;0,55;
MG;3131901;Itabirito;0,59;1,38;1,06;
MG;3132008;Itacambira;0,14;0,33;0,25;
MG;3132107;Itacarambi;0,17;0,41;0,32;
MG;3132206;Itaguara;0,29;0,72;0,83;
MG;3132305;Itaipé;0,21;0,29;0,3;
MG;3132404;Itajubá;0,66;1,46;1,39;
MG;3132503;Itamarandiba;0,16;0,49;0,45;
MG;3132602;Itamarati de Minas;0,26;0,84;0,6;
MG;3132701;Itambacuri;0,22;0,63;0,58;
MG;3132800;Itambé do Mato Dentro;0,2;0,55;0,5;
MG;3132909;Itamogi;0,41;0,93;0,87;
MG;3133006;Itamonte;0,42;1,16;0,7;
MG;3133105;Itanhandu;0,66;1,15;1,28;
MG;3133204;Itanhomi;0,16;0,52;0,53;
MG;3133303;Itaobim;0,29;0,62;0,42;
MG;3133402;Itapagipe;0,56;1,44;1,14;
MG;3133501;Itapecerica;0,3;0,75;0,77;
MG;3133600;Itapeva;0,34;1,24;1,17;
MG;3133709;Itatiaiuçu;0,33;0,85;0,68;
MG;3133758;Itaú de Minas;;;1,13;
MG;3133808;Itaúna;0,54;1,46;1,2;
MG;3133907;Itaverava;0,17;0,63;0,49;
MG;3134004;Itinga;0,16;0,37;0,29;
MG;3134103;Itueta;0,21;0,62;0,48;
MG;3134202;Ituiutaba;0,61;1,57;1,33;
MG;3134301;Itumirim;0,32;0,94;0,63;
MG;3134400;Iturama;0,38;1,29;1,05;
MG;3134509;Itutinga;0,56;1,01;0,71;
MG;3134608;Jaboticatubas;0,25;0,69;0,67;
MG;3134707;Jacinto;0,15;0,48;0,38;
MG;3134806;Jacuí;0,25;0,7;0,68;
MG;3134905;Jacutinga;0,58;1,4;1,1;
MG;3135001;Jaguaraçu;0,36;0,96;0,57;
MG;3135050;Jaíba;;;;
MG;3135076;Jampruca;;;;
MG;3135100;Janaúba;0,27;0,84;0,62;
MG;3135209;Januária;0,33;0,48;0,48;
MG;3135308;Japaraíba;0,24;0,7;0,6;
MG;3135357;Japonvar;;;;
MG;3135407;Jeceaba;0,29;0,59;0,51;
MG;3135456;Jenipapo de Minas;;;;
MG;3135506;Jequeri;0,18;0,52;0,43;
MG;3135605;Jequitaí;0,3;0,84;0,48;
MG;3135704;Jequitibá;0,29;0,58;0,46;
MG;3135803;Jequitinhonha;0,24;0,59;0,47;
MG;3135902;Jesuânia;0,33;0,72;0,58;
MG;3136009;Joaíma;0,25;0,54;0,47;
MG;3136108;Joanésia;0,17;0,37;0,34;
MG;3136207;João Monlevade;0,67;1,68;1,04;
MG;3136306;João Pinheiro;0,33;1,23;0,75;
MG;3136405;Joaquim Felício;0,35;1,09;0,44;
MG;3136504;Jordânia;0,32;0,48;0,56;
MG;3136520;José Gonçalves de Minas;;;;
MG;3136553;José Raydan;;;;
MG;3136579;Josenópolis;;;;
MG;3136603;Nova União;0,22;0,56;0,47;
MG;3136652;Juatuba;;;;
MG;3136702;Juiz de Fora;0,87;1,86;1,78;
MG;3136801;Juramento;0,27;0,52;0,41;
MG;3136900;Juruaia;0,35;0,81;0,69;
MG;3136959;Juvenília;;;;
MG;3137007;Ladainha;0,15;0,39;0,27;
MG;3137106;Lagamar;0,25;0,73;0,67;
MG;3137205;Lagoa da Prata;0,43;1,04;0,83;
MG;3137304;Lagoa dos Patos;0,23;0,62;0,54;
MG;3137403;Lagoa Dourada;0,4;1,17;0,6;
MG;3137502;Lagoa Formosa;0,29;0,77;0,86;
MG;3137536;Lagoa Grande;;;;
MG;3137601;Lagoa Santa;0,46;1,27;1,14;
MG;3137700;Lajinha;0,24;0,81;0,64;
MG;3137809;Lambari;0,44;1,17;0,84;
MG;3137908;Lamim;0,19;0,43;0,36;
MG;3138005;Laranjal;0,38;0,81;0,58;
MG;3138104;Lassance;0,3;1,31;0,53;
MG;3138203;Lavras;0,62;1,61;1,29;
MG;3138302;Leandro Ferreira;0,29;0,74;0,76;
MG;3138351;Leme do Prado;;;;
MG;3138401;Leopoldina;0,5;1,14;0,9;
MG;3138500;Liberdade;0,35;0,69;0,75;
MG;3138609;Lima Duarte;0,26;0,84;0,75;
MG;3138625;Limeira do Oeste;;;;
MG;3138658;Lontra;;;;
MG;3138674;Luisburgo;;;;
MG;3138682;Luislândia;;;;
MG;3138708;Luminárias;0,26;0,85;0,59;
MG;3138807;Luz;0,44;1,13;1,53;
MG;3138906;Machacalis;0,21;0,64;0,5;
MG;3139003;Machado;0,44;1,09;1,16;
MG;3139102;Madre de Deus de Minas;0,34;1,11;0,64;
MG;3139201;Malacacheta;0,15;0,49;0,37;
MG;3139250;Mamonas;;;;
MG;3139300;Manga;0,26;0,48;0,49;
MG;3139409;Manhuaçu;0,34;1,18;0,83;
MG;3139508;Manhumirim;0,31;1,04;0,72;
MG;3139607;Mantena;0,27;0,83;0,62;
MG;3139706;Maravilhas;0,36;0,86;1,03;
MG;3139805;Mar de Espanha;0,37;1,12;0,72;
MG;3139904;Maria da Fé;0,33;1,01;0,79;
MG;3140001;Mariana;0,39;0,97;0,96;
MG;3140100;Marilac;0,17;0,51;0,42;
MG;3140159;Mário Campos;;;;
MG;3140209;Maripá de Minas;0,39;0,91;0,76;
MG;3140308;Marliéria;0,24;0,64;0,44;
MG;3140407;Marmelópolis;0,36;0,5;0,47;
MG;3140506;Martinho Campos;0,36;0,86;0,75;
MG;3140530;Martins Soares;;;;
MG;3140555;Mata Verde;;;;
MG;3140605;Materlândia;0,13;0,46;0,45;
MG;3140704;Mateus Leme;0,48;1,17;0,79;
MG;3140803;Matias Barbosa;0,54;1,27;0,97;
MG;3140852;Matias Cardoso;;;;
MG;3140902;Matipó;0,25;0,71;0,58;
MG;3141009;Mato Verde;0,24;0,57;0,41;
MG;3141108;Matozinhos;0,5;1,04;0,75;
MG;3141207;Matutina;0,36;0,95;1,07;
MG;3141306;Medeiros;0,36;1;1,23;
MG;3141405;Medina;0,29;0,58;0,45;
MG;3141504;Mendes Pimentel;0,16;0,45;0,46;
MG;3141603;Mercês;0,3;0,66;0,52;
MG;3141702;Mesquita;0,25;0,61;0,54;
MG;3141801;Minas Novas;0,14;0,43;0,34;
MG;3141900;Minduri;0,59;1,26;0,58;
MG;3142007;Mirabela;0,32;0,51;0,46;
MG;3142106;Miradouro;0,23;0,7;0,49;
MG;3142205;Miraí;0,38;0,79;0,68;
MG;3142254;Miravânia;;;;
MG;3142304;Moeda;0,28;0,68;0,54;
MG;3142403;Moema;0,27;0,86;0,79;
MG;3142502;Monjolos;0,58;1,26;0,46;
MG;3142601;Monsenhor Paulo;0,27;0,82;1,02;
MG;3142700;Montalvânia;0,23;0,61;0,7;
MG;3142809;Monte Alegre de Minas;0,47;1,17;1,18;
MG;3142908;Monte Azul;0,23;0,56;0,38;
MG;3143005;Monte Belo;0,5;0,76;0,72;
MG;3143104;Monte Carmelo;0,43;1,2;1,18;
MG;3143153;Monte Formoso;;;;
MG;3143203;Monte Santo de Minas;0,4;1,23;0,92;
MG;3143302;Montes Claros;0,52;1,22;0,96;
MG;3143401;Monte Sião;0,44;1,26;1,07;
